archivo,freq_mean,freq_std,freq_maxv,freq_minv,freq_median,freq_skew,freq_kurt,freq_q1,freq_q3,freq_mode,freq_iqr,energy,rmse_mean,zero_crossings,tempo,mfcc_mean,tempogram_mean,spec_centroid_mean,spec_bandwidth_mean,spec_contrast_mean,spec_flatness_mean,spec_rolloff_mean
LA_T_1002656.flac,-1.2557765722345526e-05,0.2886751345037662,0.49997488446855537,-0.5,-1.2557765722322685e-05,3.560784435298218e-16,-1.2000000015138959,-0.2500062788828612,0.2499811633514165,-0.5,0.4999874422342777,1264.8237,0.15049708,3030,161.4990234375,-20.945473,0.05756532107952322,1289.5789269921215,1208.3570385114515,35.717036786335306,0.00058929133,2350.1558743990386
LA_T_1025067.flac,-2.715177844148792e-06,0.28867513459055655,0.4999945696443117,-0.5,-2.715177844148792e-06,2.0530537489069942e-16,-1.2000000000707725,-0.2500013575889221,0.24999592723323377,-0.5,0.4999972848221559,1458.6929,0.06866269,15796,129.19921875,-18.22683,0.12762036188438686,1590.6527308059387,1373.8783203664943,35.27251311627828,0.0012938549,2936.0821533203125
LA_T_1025525.flac,-1.4355418263180438e-17,0.28867513458582306,0.4999960540126745,-0.4999960540126745,0.0,-7.459294139416089e-17,-1.20000000014948,-0.24999802700633725,0.24999802700633725,-0.4999960540126745,0.4999960540126745,733.3955,0.050280333,20692,117.45383522727273,-28.607279,0.11878227215908559,2308.1178929449457,1657.9895728748802,31.39316212586654,0.0006197447,4103.2473656439015
LA_T_1033664.flac,-5.52791597567717e-06,0.2886751345771703,0.4999889441680487,-0.5,-5.52791597567717e-06,1.0449691761023156e-16,-1.200000000293355,-0.2500027639579879,0.2499917081260365,-0.5,0.49999447208402437,1136.0767,0.06981425,9029,135.99917763157896,-26.618511,0.08408258762645088,1720.8855395009448,1632.1308437203272,34.17370354289653,0.0005388573,3375.7858017743642
LA_T_1037774.flac,0.0,0.28867513457787813,0.4999945841141235,-0.4999945841141235,0.0,1.0237915748070228e-16,-1.200000000281585,-0.24999729205706175,0.24999729205706175,-0.4999945841141235,0.4999945841141235,1124.6498,0.081288226,10883,103.359375,-16.610666,0.15501949540124862,1947.8348349449473,1591.9869411992809,35.75334091807389,0.00024106412,3320.2771603073206
LA_T_1055109.flac,2.502031490217889e-17,0.2886751345879856,0.4999965612341043,-0.4999965612341043,0.0,0.0,-1.2000000001135207,-0.24999828061705215,0.24999828061705215,-0.4999965612341043,0.4999965612341043,3865.8032,0.13836764,9669,135.99917763157896,-8.53069,0.1289412734312886,1364.1919223795408,1288.0574530812594,33.082837234454814,0.00022447649,2547.8556028554135
LA_T_1066444.flac,-7.311010381661339e-06,0.288675134563953,0.49998537797923676,-0.5,-7.311010381634742e-06,2.764072583460658e-16,-1.2000000005131284,-0.2500036555051908,0.24998903348442755,-0.5,0.4999926889896184,1108.0482,0.07217835,5358,129.19921875,-19.206219,0.05936488921962489,1874.4997242867605,1918.5575461053943,34.35865560182989,0.00075323315,4143.213255013992
LA_T_1079836.flac,-1.174812030075188e-05,0.288675134515128,0.4999765037593985,-0.5,-1.174812030075188e-05,1.1104025145605706e-16,-1.2000000013249763,-0.2500058740601504,0.24998237781954888,-0.5,0.4999882518796993,598.5345,0.08872615,4096,184.5703125,-22.763622,0.04018207843381206,2100.0985102062123,1707.938997416692,34.6595177277104,0.0023078949,3873.15673828125
LA_T_1085704.flac,0.0,0.2886751345685676,0.4999932577300125,-0.4999932577300125,0.0,1.2745244944902778e-16,-1.2000000004363984,-0.24999662886500626,0.24999662886500626,-0.4999932577300125,0.4999932577300125,1107.3873,0.09589756,7257,103.359375,-14.00043,0.10512882309970069,1653.7837133367043,1439.4688145674256,34.52297091532178,0.0003337879,3006.4064183728447
LA_T_1119401.flac,0.0,0.28867513457727867,0.4999944890828732,-0.4999944890828732,0.0,0.0,-1.200000000291554,-0.2499972445414366,0.2499972445414366,-0.4999944890828732,0.4999944890828732,2465.2776,0.13713574,5559,95.703125,-19.965174,0.07359785048033642,1373.3792319867578,1318.426575739424,37.49926002273997,0.0013695498,2699.8160715853232
